a=01010010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010010, sa=0, s=0, e=1, bus wire=01010011
a=01010011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010011, sa=0, s=0, e=1, bus wire=01010100
a=01010100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010100, sa=0, s=0, e=1, bus wire=01010101
a=01010101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010101, sa=0, s=0, e=1, bus wire=01010110
a=01010110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010110, sa=0, s=0, e=1, bus wire=01010111
a=01010111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010111, sa=0, s=0, e=1, bus wire=01011000
a=01011000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011000, sa=0, s=0, e=1, bus wire=01011001
a=01011001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011001, sa=0, s=0, e=1, bus wire=01011010
a=01011010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011010, sa=0, s=0, e=1, bus wire=01011011
a=01011011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011011, sa=0, s=0, e=1, bus wire=01011100
a=01011100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011100, sa=0, s=0, e=1, bus wire=01011101
a=01011101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011101, sa=0, s=0, e=1, bus wire=01011110
a=01011110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011110, sa=0, s=0, e=1, bus wire=01011111
a=01011111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01011111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01011111, sa=0, s=0, e=1, bus wire=01100000
a=01100000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100000, sa=0, s=0, e=1, bus wire=01100001
a=01100001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100001, sa=0, s=0, e=1, bus wire=01100010
a=01100010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100010, sa=0, s=0, e=1, bus wire=01100011
a=01100011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100011, sa=0, s=0, e=1, bus wire=01100100
a=01100100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100100, sa=0, s=0, e=1, bus wire=01100101
a=01100101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100101, sa=0, s=0, e=1, bus wire=01100110
